EFT_PERIODO	EFT_VIVIENDA	EFT_ESTRATO	EFT_EN	EFT_UPM	EFT_ANO	EFT_SEMESTRE	EFT_PROVINCIA	EFT_MUNICIPIO	EFT_ZONA	EFT_BARRIO_SECCION	EFT_PARAJE	EFT_NO_ORDEN_UPM	EFT_ROTACION	EFT_ENCUESTADOR	EFT_SUPERVISOR	EFT_CRITICO_CODIFICADOR	EFT_DIGITADOR	EFT_CANT_HOGARES	EFT_USO_VIV_ORIGINAL	EFT_USO_VIV_RESERVA	EFT_CUAL_UTILIZO	EFT_POR_QUE	EFT_TIPO_VIVIENDA	EFT_NO_DE_CASAS	EFT_NO_DE_PISOS	EFT_NO_APTO_POR_PISO	EFT_PARED_EXTERIOR	EFT_PARED_INTERIOR	EFT_TECHO	EFT_PISO	EFT_TIPO_TENENCIA	EFT_CANT_CUARTOS	EFT_CANT_DORMITORIOS	EFT_UBICACION_COCINA	EFT_COMBUSTIBLE_COCINA	EFT_AGUA_RED_PUBLICA	EFT_TIPO_SANITARIO	EFT_ESTADO_VIVIENDA	EFT_APARIENCIA_VIVIENDA	EFT_PAGA_ALQUILER	EFT_MONTO_ALQUILER	EFT_PERIODO_PAGO_ALQ	EFT_MONTO_PROBABLE_ALQ	EFT_POR_QUE_UTILIZO_ABC	EFT_FACTOR_EXP	EFT_POR_QUE_RESERVA	EFT_POR_QUE_NO_REALIZO	EFT_POR_QUE_NO_REALIZO_OTROS	EFT_ALUMBRADO_PUBLICO	EFT_CALLES_ASFALTADAS	EFT_TIPO_VIVIENDA_ESP	EFT_PARED_EXTERIOR_ESP	EFT_PARED_INTERIOR_ESP	EFT_TECHO_ESP	EFT_PISO_ESP	EFT_TENENCIA_ESP	EFT_COMBUSTIBLE_COCINA_ESP	EFT_MONTO_ALQUILER_DOLARES	EFT_MONTO_PROBABLE_ALQ_DOLARES	EFT_DURACION_ENTREVISTA	EFT_NUMERO_VISITAS	EFT_TIPO_ALUMBRADO_VIV	EFT_TIPO_ALUMBRADO_VIV_ESP	EFT_COMO_ELIMINA_BASURA	EFT_COMO_ELIMINA_BASURA_ESP	EFT_TIEMPO_PAGA_ALQUILER
1/2000	187	1	0	19			1	101	0	LA AGUSTINITA		7	0	21	147	82,031	13,900	1	1				1	0	0	0	2	2	6	4	7	2	1	1	1	1	2	1	3	1	1,200.00	2	0.00		272																					
1/2000	188	1	0	19			1	101	0	LA AGUSTINITA		8	0	21	147	82,031	13,900	1	1				2	0	0	0	2	2	19	4	7	2	1	1	1	1	2	1	3	1	1,200.00	2	0.00		272																					
1/2000	189	1	0	19			1	101	0	LA AGUSTINITA		9	0	21	147	82,031	13,900	1	1				1	0	0	0	2	2	6	12	5	3	2	1	1	1	2	1	3	2	0.00	0	2,500.00		272																					
1/2000	190	1	0	19			1	101	0	LA AGUSTINITA		10	0	21	147	82,031	13,900	1	1				2	0	0	0	9	9	19	4	7	2	1	1	2	2	3	2	4	1	800.00	2	0.00		272																					
1/2000	191	1	0	20			1	101	0	ENS. RENACIMIENTO( LOS MAESTROS M.N. )		1	0	47	148	89,453	91,159	1	1				2	0	0	0	2	2	6	7	7	5	3	1	1	1	2	2	3	1	3,000.00	2	0.00		245																					
1/2000	192	1	0	20			1	101	0	ENS. RENACIMIENTO( LOS MAESTROS M.N. )		2	0	47	148	89,453	91,159	2	1				1	0	0	0	2	2	6	12	3	8	4	1	1	1	1	1	2	2	0.00	0	10,000.00		245																					
1/2000	193	1	0	20	2,000	1	1	101	0	ENS. RENACIMIENTO( LOS MAESTROS M.N. )		3	0	47	148	89,453	91,159	1	2	1	A		1	0	0	0	2	2	6	12	6	8	3	1	1	1	1	2	2	2	0.00	0	12,500.00		245																					
1/2000	194	1	0	20			1	101	0	ENS. RENACIMIENTO( LOS MAESTROS M.N. )		4	0	47	148	89,453	91,159	2	1				2	0	0	0	2	2	6	7	7	6	4	1	1	1	1	3	3	1	8,000.00	2	0.00		245																					
1/2000	195	1	0	20			1	101	0	ENS. RENACIMIENTO( LOS MAESTROS M.N. )		5	0	47	148	89,453	91,159	1	1				2	0	0	0	2	2	6	12	3	5	3	1	1	1	1	1	3	2	0.00	0	7,000.00		244																					
1/2000	196	1	0	20			1	101	0	ENS. RENACIMIENTO( LOS MAESTROS M.N. )		6	0	47	148	89,453	91,159	1	1				2	0	0	0	2	2	6	7	7	6	4	1	1	1	1	2	2	1	5,000.00	2	0.00		245																					
